name: Cisco-IOS-XR-fib-common-oper:mpls-forwarding/nodes/node/label-fib/forwarding-details/forwarding-detail
time                     source label_value label_information/outgoing_label label_information/outgoing_physical_interface label_information/tx_bytes
----                     ------ ----------- -------------------------------- --------------------------------------------- --------------------------
2021-02-23T15:35:59.288Z R00    100103      100103                           Gi0/0/0/0                                     25404
2021-02-23T15:35:59.379Z R00    100103      100103                           Gi0/0/0/0                                     25404
2021-02-23T15:36:09.241Z R00    100103      100103                           Gi0/0/0/0                                     25404
2021-02-23T15:36:09.301Z R00    100103      100103                           Gi0/0/0/0                                     25404
2021-02-23T15:36:19.344Z R00    100103      100103                           Gi0/0/0/0                                     25404
2021-02-23T15:36:19.415Z R00    100103      100103                           Gi0/0/0/0                                     25404
2021-02-23T15:36:29.312Z R00    100103      100103                           Gi0/0/0/0                                     25404
2021-02-23T15:36:29.382Z R00    100103      100103                           Gi0/0/0/0                                     25404
2021-02-23T15:36:39.461Z R00    100103      100103                           Gi0/0/0/0                                     25463
2021-02-23T15:36:39.532Z R00    100103      100103                           Gi0/0/0/0                                     25463
2021-02-23T15:36:49.472Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:36:49.548Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:36:59.384Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:36:59.451Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:37:09.72Z  R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:37:09.794Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:37:19.289Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:37:19.342Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:37:29.3Z   R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:37:29.366Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:37:39.238Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:37:39.314Z R00    100103      100103                           Gi0/0/0/0                                     25503
2021-02-23T15:37:49.518Z R00    100103      100103                           Gi0/0/0/0                                     25602
2021-02-23T15:37:49.589Z R00    100103      100103                           Gi0/0/0/0                                     25602
2021-02-23T15:37:59.359Z R00    100103      100103                           Gi0/0/0/0                                     25602
2021-02-23T15:37:59.48Z  R00    100103      100103                           Gi0/0/0/0                                     25602
2021-02-23T15:38:09.287Z R00    100103      100103                           Gi0/0/0/0                                     25602
2021-02-23T15:38:09.348Z R00    100103      100103                           Gi0/0/0/0                                     25602
2021-02-23T15:38:19.314Z R00    100103      100103                           Gi0/0/0/0                                     25602
2021-02-23T15:38:19.373Z R00    100103      100103                           Gi0/0/0/0                                     25602
2021-02-23T15:38:29.257Z R00    100103      100103                           Gi0/0/0/0                                     36211
2021-02-23T15:38:29.339Z R00    100103      100103                           Gi0/0/0/0                                     36211
2021-02-23T15:38:39.261Z R00    100103      100103                           Gi0/0/0/0                                     36423
2021-02-23T15:38:39.327Z R00    100103      100103                           Gi0/0/0/0                                     36423
2021-02-23T15:38:49.305Z R00    100103      100103                           Gi0/0/0/0                                     36583
2021-02-23T15:38:49.361Z R00    100103      100103                           Gi0/0/0/0                                     36583
2021-02-23T15:38:59.389Z R00    100103      100103                           Gi0/0/0/0                                     36583
2021-02-23T15:38:59.447Z R00    100103      100103                           Gi0/0/0/0                                     36583
2021-02-23T15:39:09.337Z R00    100103      100103                           Gi0/0/0/0                                     36583
2021-02-23T15:39:09.408Z R00    100103      100103                           Gi0/0/0/0                                     36583
2021-02-23T15:39:19.452Z R00    100103      100103                           Gi0/0/0/0                                     36583
2021-02-23T15:39:19.571Z R00    100103      100103                           Gi0/0/0/0                                     36583
2021-02-23T15:39:29.306Z R00    100103      100103                           Gi0/0/0/0                                     36642
2021-02-23T15:39:29.374Z R00    100103      100103                           Gi0/0/0/0                                     36642
2021-02-23T15:39:39.327Z R00    100103      100103                           Gi0/0/0/0                                     36642
2021-02-23T15:39:39.382Z R00    100103      100103                           Gi0/0/0/0                                     36642
2021-02-23T15:39:49.286Z R00    100103      100103                           Gi0/0/0/0                                     36682
2021-02-23T15:39:49.345Z R00    100103      100103                           Gi0/0/0/0                                     36682
2021-02-23T15:39:59.429Z R00    100103      100103                           Gi0/0/0/0                                     36682
2021-02-23T15:39:59.526Z R00    100103      100103                           Gi0/0/0/0                                     36682
2021-02-23T15:40:09.28Z  R00    100103      100103                           Gi0/0/0/0                                     36682
